"merchant_code","merchant_name","archive_file","original_temp_file","bytes","sha256","status","notes"
"DB","Rumah Makan Dendeng Batokok","raw/source-archives/O-KP-20260619-source-dendeng-batokok.zip","scratch/99-temp/Kompetitor - Dendeng Batokok -20260619T162405Z-3-001.zip","20893639","77406DB130C989B078CCB77C13D674CA25FF8F327C3E2684E7402D01D69F7644","included-source-archive","ZIP sumber asli screenshot kompetitor dari 2026-06-19."
"PAR","Restoran Paripurna","raw/source-archives/O-KP-20260619-source-paripurna.zip","scratch/99-temp/Kompetitor - Paripurna -20260619T162314Z-3-001.zip","29929522","267D877F3BFF31325F277698A453F2804F536FD04215E8DC0FB6AE7719622380","included-source-archive","ZIP sumber asli screenshot kompetitor dari 2026-06-19."
"PG","RM. Pondok Gurih","raw/source-archives/O-KP-20260619-source-pondok-gurih.zip","scratch/99-temp/Kompetitor - Pondok Gurih-20260620T165742Z-3-001.zip","38519467","D513E4217A342826A02410A2A823BC58FF8233C4F4BE4F8486D049DCA735EBB4","included-source-archive","ZIP sumber asli screenshot kompetitor dari 2026-06-20."
"GAR","Restoran Garuda","raw/source-archives/O-KP-20260619-source-restoran-garuda.zip","scratch/99-temp/Kompetitor - Restoran Garuda-20260620T165737Z-3-001.zip","66807490","987649AB204419744DB8B29D0F92B990A94246606C76518D38EB726C3BBCA2FD","included-source-archive","ZIP sumber asli screenshot kompetitor dari 2026-06-20."
"IK","Rumah Makan Istana Krakatau","raw/source-archives/O-KP-20260619-source-istana-krakatau.zip","scratch/99-temp/Kompetitor- Istana Krakatau-20260620T165720Z-3-001.zip","52660989","73B578D1E0CB9AE643F3AFCE65CC1F3C5D62628633CC9BF6BCD17B600630F064","included-source-archive","ZIP sumber asli screenshot kompetitor dari 2026-06-20."
