"code","source_screenshot","crop_file","crop_x","crop_y","crop_w","crop_h","keterangan"
"PA-GF-01","O-GF-20260404-rating-reviews.jpeg","cropped/PA-GF-01-rating-ulasan.jpeg","0","125","739","1320","Rating dan ulasan awal"
"PA-HRG-01","O-GF-20260404-menu-price-01.jpeg","cropped/PA-HRG-01-menu-utama.jpeg","0","300","739","1135","Menu utama dan harga paket nasi Padang"
"PA-HRG-02","O-GF-20260404-menu-price-06.jpeg","cropped/PA-HRG-02-pesanan-tambahan.jpeg","0","300","739","1230","Pesanan tambahan dan lauk pendamping"
"PA-HRG-03","O-GF-20260404-menu-price-13.jpeg","cropped/PA-HRG-03-sambal-kemasan.jpeg","0","300","739","735","Sambal dan produk kemasan"
"PA-HRG-04","O-GF-20260404-menu-price-14.jpeg","cropped/PA-HRG-04-kuah-minuman.jpeg","0","300","739","1110","Kuah tambahan dan minuman"
"PA-HRG-05","O-GF-20260404-menu-price-17.jpeg","cropped/PA-HRG-05-menu-premium.jpeg","0","650","739","660","Menu premium kepala ikan"
