file_code,source_code,file_role,relative_path,original_source,original_name,bytes,sha256,status,notes
W-PM-20260706-F01,W-PM-20260706,manual-note,notes/W-PM-20260706-catatan-wawancara-pemilik.md,catatan ringkas pengguna dari wawancara pemilik 2026-07-06,W-PM-20260706-catatan-wawancara-pemilik.md,2777,347352D68C9303CFB5DFEA07DFE4545CD686C33BF0C7C0744D2E140FA947A168,included,Dataset wawancara pemilik 6 Juli 2026.
W-PM-20260706-F02,W-PM-20260706,analysis-recap,compiled/analysis/W-PM-20260706-rekap.md,diolah peneliti dari catatan W-PM-20260706,W-PM-20260706-rekap.md,4367,3C18E5DB120CDE5CAC7F6FA6FCFE44EE445303508494405ECF458C6398A11D0E,included,Dataset wawancara pemilik 6 Juli 2026.
W-PM-20260706-F03,W-PM-20260706,transcript-status,transcripts/README.md,diolah peneliti dari catatan W-PM-20260706,README.md,327,3D3AA9D36728D2DC5FF24D2D42F5833A29E810C9F585710559653444F6A5A98B,included,Dataset wawancara pemilik 6 Juli 2026.
W-PM-20260706-F04,W-PM-20260706,raw-audio-placeholder,raw/audio/.gitkeep,diolah peneliti dari catatan W-PM-20260706,.gitkeep,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,included,Dataset wawancara pemilik 6 Juli 2026.
W-PM-20260706-F05,W-PM-20260706,dataset-readme,README.md,diolah peneliti dari catatan W-PM-20260706,README.md,1454,38A46487F051C54F374EB042E41D8CA573ADF6738FA7B3B49C87C3F6AF0A3969,included,Dataset wawancara pemilik 6 Juli 2026.
W-PM-20260706-F06,W-PM-20260706-FOTO,analysis-photo-note,compiled/analysis/W-PM-20260706-dokumentasi-foto.md,diolah peneliti dari dokumentasi W-PM-20260706-FOTO,W-PM-20260706-dokumentasi-foto.md,743,A6450604F1314B10D8BD0DD80CBFCF3EF2362AD50DB2821E8DB845582D28AABF,included,Analisis singkat dokumentasi foto wawancara pemilik.
W-PM-20260706-F07,W-PM-20260706-FOTO,raw-photo,raw/photos/W-PM-20260706-pemilik-nasi-gerilya/W-PM-20260706-foto-01-dokumentasi-bersama-pemilik.jpg,C:/Users/reido/AppData/Local/hermes/cache/images/img_88055456b923.jpg,img_88055456b923.jpg,200807,7EF1476796FEDF95B10ACE9D69D5376597F9A3365041C4480CA5A5945B4BF7CB,included,Foto dokumentasi lapangan bersama pemilik Nasi Gerilya.
