"file_code","source_code","file_role","relative_path","original_source","original_name","bytes","sha256","status","notes"
"W-AD-RK-20260701-A09","W-AD-RK-20260701","raw-audio","raw/audio/W-AD-RK-20260701-ririn-kasir/W-AD-RK-20260701-raw-09-komplain-pelanggan.m4a","scratch/99-temp/interview-audio/raw/11_Karyawan_Ririn_Kasir_AUDIO-2026-07-01-10-39-11.m4a","11_Karyawan_Ririn_Kasir_AUDIO-2026-07-01-10-39-11.m4a","975200","BFCFA61CA607F6F42F0EC508883D7AA2C91581EFEC9C364657234AEA9837AE08","included","Urutan logis 09 untuk wawancara Ririn/kasir."
"W-AD-RK-20260701-A10","W-AD-RK-20260701","raw-audio","raw/audio/W-AD-RK-20260701-ririn-kasir/W-AD-RK-20260701-raw-10-penanganan-komplain.m4a","scratch/99-temp/interview-audio/raw/15_Karyawan_Ririn_Kasir_AUDIO-2026-07-01-10-39-12.m4a","15_Karyawan_Ririn_Kasir_AUDIO-2026-07-01-10-39-12.m4a","492907","D6F0BEDA5ACD1A86B77A248A38890C56409FD29C2607EBF0E41E9115645BA8A8","included","Urutan logis 10 untuk wawancara Ririn/kasir."
"W-AD-RK-20260701-A11","W-AD-RK-20260701","raw-audio","raw/audio/W-AD-RK-20260701-ririn-kasir/W-AD-RK-20260701-raw-11-alur-grabfood-checker.m4a","scratch/99-temp/interview-audio/raw/06_Karyawan_Ririn_Kasir_AUDIO-2026-07-01-10-39-12.m4a","06_Karyawan_Ririn_Kasir_AUDIO-2026-07-01-10-39-12.m4a","4927591","B3006B21550E42768DE23B1EED06308C3502B4FB1EFB111B852F06C954DD286E","included","Urutan logis 11 untuk wawancara Ririn/kasir."
"W-AD-RK-20260701-A12","W-AD-RK-20260701","raw-audio","raw/audio/W-AD-RK-20260701-ririn-kasir/W-AD-RK-20260701-raw-12-komunikasi-driver.m4a","scratch/99-temp/interview-audio/raw/07_Karyawan_Ririn_Kasir_AUDIO-2026-07-01-10-39-12.m4a","07_Karyawan_Ririn_Kasir_AUDIO-2026-07-01-10-39-12.m4a","1722732","80394DFCB1185D58A61F7387B1894FC116BD1F401709998637798B0F8EB3890E","included","Urutan logis 12 untuk wawancara Ririn/kasir."
"W-AD-RK-20260701-A13","W-AD-RK-20260701","raw-audio","raw/audio/W-AD-RK-20260701-ririn-kasir/W-AD-RK-20260701-raw-13-menu-harga-tampilan-grabfood.m4a","scratch/99-temp/interview-audio/raw/09_Karyawan_Ririn_Kasir_AUDIO-2026-07-01-10-39-13.m4a","09_Karyawan_Ririn_Kasir_AUDIO-2026-07-01-10-39-13.m4a","1880349","5AA58043921E56FAC3307DBA809416632E3F52544A0F966CFE0E1B3324A87057","included","Urutan logis 13 untuk wawancara Ririn/kasir."
"W-AD-RK-20260701-A14","W-AD-RK-20260701","raw-audio","raw/audio/W-AD-RK-20260701-ririn-kasir/W-AD-RK-20260701-raw-14-promo-repeat-order.m4a","scratch/99-temp/interview-audio/raw/08_Karyawan_Ririn_Kasir_AUDIO-2026-07-01-10-39-13.m4a","08_Karyawan_Ririn_Kasir_AUDIO-2026-07-01-10-39-13.m4a","1316078","740722370E0B4DB3A51DD1F129678E1E5D3CEB84100BABB70AC7D6CE717434E0","included","Urutan logis 14 untuk wawancara Ririn/kasir."
"W-BC-20260704-A01","W-BC-20260704","raw-audio","raw/audio/W-BC-20260704-business-consultant/W-BC-20260704-audio-01.mp4","scratch/99-temp/interview-audio/raw/21_Business_Consultant_NG_WhatsApp Audio 2026-07-04 at 12.13.20.mp4","21_Business_Consultant_NG_WhatsApp Audio 2026-07-04 at 12.13.20.mp4","8921614","48B8146F8294506358F2680EDDF3C74C2B43416AF524CA829D9B59E2F02F9CE5","included","Audio wawancara intern business consultant Nasi Gerilya."
"W-AD-RK-20260701-PA01","W-AD-RK-20260701","processed-audio","compiled/processed-audio/W-AD-RK-20260701-audio-processed-combined-logical-48k.m4a","scratch/99-temp/interview-audio/compiled/Ririn_Kasir_combined_ORDERED_LOGICAL_48k.m4a","Ririn_Kasir_combined_ORDERED_LOGICAL_48k.m4a","41957129","BF8BEE58CD84315D705AA8F6007F5A93D1988B79DB30D8F42308F512FFB761CD","included","Audio gabungan Ririn dalam urutan logis; dipakai untuk transkrip final, sumber raw tetap disimpan."
"W-AD-RK-20260701-PS01","W-AD-RK-20260701","processed-source-list","compiled/processed-audio/W-AD-RK-20260701-audio-processed-sources.txt","scratch/99-temp/interview-audio/compiled/Ririn_Kasir_combined_ORDERED_LOGICAL_sources.txt","Ririn_Kasir_combined_ORDERED_LOGICAL_sources.txt","1449","73966878FACEDB3EA3B645C3AD87E0E154E3438D1AE083FD610EFDEDA769693D","included","Daftar urut source raw untuk audio gabungan Ririn."
"W-KP-IK-20260703-N01","W-KP-IK-20260703","manual-note","notes/W-KP-IK-20260703-catatan-mentah.md","scratch/99-temp/interview-audio/raw/manual-notes/20260703_kompetitor_istana_krakatau_kasir_catatan_mentah.md","20260703_kompetitor_istana_krakatau_kasir_catatan_mentah.md","778","D30A688530356AAC6C890F6D69194E627EE5DC084B8ACDCE1690305B74B6AF87","included","Catatan manual narasumber kompetitor Istana Krakatau."
"W-KP-PK-20260703-N01","W-KP-PK-20260703","manual-note","notes/W-KP-PK-20260703-catatan-mentah.md","scratch/99-temp/interview-audio/raw/manual-notes/20260703_kompetitor_pondok_krakatau_ken_catatan_mentah.md","20260703_kompetitor_pondok_krakatau_ken_catatan_mentah.md","1309","854C67E447251F45DFCFF3596F804F33D39F86A970C536B389B9D8BA1E12F5A2","included","Catatan manual narasumber kompetitor Pondok Krakatau."
"W-KP-IK-20260703-R01","W-KP-IK-20260703","analysis-recap","compiled/analysis/W-KP-IK-20260703-rekap.md","scratch/99-temp/interview-audio/analysis/rekap_wawancara_kompetitor_istana_krakatau_kasir.md","rekap_wawancara_kompetitor_istana_krakatau_kasir.md","5906","2B44DBD5CB5BC03611AC40C385AC0ACD408253E66319C580D6B7603A5A185509","included","Rekap temuan dari catatan/audio kompetitor Istana Krakatau."
"W-KP-PK-20260703-R01","W-KP-PK-20260703","analysis-recap","compiled/analysis/W-KP-PK-20260703-rekap.md","scratch/99-temp/interview-audio/analysis/rekap_wawancara_kompetitor_pondok_krakatau_ken.md","rekap_wawancara_kompetitor_pondok_krakatau_ken.md","5730","9E7A8CF8812B15AC3FBD52F813A2BAB78D1707726EACE980B427E79C35E475F6","included","Rekap temuan dari catatan/audio kompetitor Pondok Krakatau."
"W-INT-20260703-AW01","W-INT-20260703","analysis-summary","compiled/analysis/W-INT-20260703-analisis-awal-interview-audio.md","scratch/99-temp/interview-audio/analysis/analisis_awal_interview_audio.md","analisis_awal_interview_audio.md","10578","98BA085A2A51ECE80FD850A5327371EC351B749E872A29953ACC97C7A2D7DDB2","included","Analisis awal dari kumpulan audio; perlu validasi manual sebelum dikutip final."
"W-INT-20260704-KD01","W-INT-20260704","coded-findings","compiled/analysis/W-INT-20260704-koding-temuan-lapangan-lengkap.md","scratch/99-temp/interview-audio/analysis/koding_temuan_lapangan_lengkap.md","koding_temuan_lapangan_lengkap.md","20106","15C1C6F61A9936105BEBA8C05B895DC92E689EB6C667CF3741CEB61FC2ABC1B3","included","Koding temuan lapangan yang menghubungkan wawancara, survei, observasi, dan SWOT."
"W-KR-BD-20260703-T01","W-KR-BD-20260703","clean-transcript","transcripts/W-KR-BD-20260703-transcript.txt","scratch/99-temp/interview-transcript/20 Karyawan Bella Dapur.txt","20 Karyawan Bella Dapur.txt","16073","509741DCA8EBCC609EEB0CC495E283C1F72D5B144EDACDA20AD16ED8D32AA854","included-cleaned","Transkrip dibersihkan dari banner TurboScribe; isi wawancara tidak disunting substantif."
"W-AD-RK-20260701-T01","W-AD-RK-20260701","clean-transcript","transcripts/W-AD-RK-20260701-transcript.txt","scratch/99-temp/interview-transcript/Ririn Kasir combined ORDERED LOGICAL 48k.txt; scratch/99-temp/interview-transcript/Ririn Kasir ORDERED LOGICAL part2 29m50s-end.txt","Ririn Kasir combined ORDERED LOGICAL 48k.txt; Ririn Kasir ORDERED LOGICAL part2 29m50s-end.txt","19217","E1CCDB1A4F24AD9352F2D7025CDD68905A8093986C8B2EB59A5BDF70F549CA59","included-cleaned","Transkrip gabungan Ririn dibersihkan dari banner TurboScribe dan dilengkapi dengan potongan akhir part2."
"W-BC-20260704-T01","W-BC-20260704","transcript","transcripts/W-BC-20260704-transcript.txt","scratch/99-temp/interview-transcript/21 Business Consultant NG.txt","21 Business Consultant NG.txt","7554","0F140F13BA0FC90923CC42106FE7E8325C4DB89C5902D3F53A6B1CDFFF97B84F","included-cleaned","Transkrip business consultant sudah berupa jawaban terkode W-BC-01 sampai W-BC-21."
